"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.730417419E-4,4.348212484E-2,-1.139237694E-1,-3.274002224E-1,3.493711866E-1
1.070404169E-2,-1.514008951E-1,-1.105377838E-1,-1.823009813E-1,2.614851439E-1
2.063404163E-2,-1.535380159E-1,-8.690392287E-2,-2.486586928E-1,3.048890940E-1
3.056404181E-2,-5.389188632E-2,-1.071397384E-1,-2.434856611E-1,2.714194653E-1
4.049404175E-2,4.092374872E-2,-1.261247157E-1,-1.829026598E-1,2.259105577E-1
5.042504170E-2,1.165227105E-1,-1.388977847E-1,-1.332352406E-1,2.249928132E-1
6.035504164E-2,1.550865961E-1,-1.032925811E-1,-7.585358977E-2,2.011839375E-1
7.028504182E-2,1.263820297E-1,-6.417729397E-2,3.337064445E-2,1.456184824E-1
8.021604177E-2,7.598639466E-4,-5.756469606E-2,8.338772714E-2,1.013300778E-1
9.014604171E-2,-7.111749128E-2,-6.224489427E-2,1.302519912E-1,1.609276410E-1
1.000767502E-1,-5.106877752E-2,-2.404992232E-2,1.229821479E-1,1.353182453E-1
1.100067501E-1,-6.388402870E-2,-1.934095855E-2,8.478521168E-2,1.079063201E-1
1.199377500E-1,-5.418466737E-2,4.962970465E-3,9.521021247E-2,1.096612685E-1
1.298677500E-1,-2.236888893E-2,1.201429227E-3,1.215834939E-1,1.236299180E-1
1.397977502E-1,-2.195698913E-2,-5.738015702E-2,8.748662531E-2,1.069041692E-1
1.497277501E-1,-3.841819854E-2,8.150557238E-3,8.584121883E-2,9.439864624E-2
1.596587501E-1,-1.070843543E-1,3.483961577E-2,2.043841606E-1,2.333532577E-1
1.695887500E-1,-9.273110267E-2,6.260043924E-3,2.358451045E-1,2.534978478E-1
1.795187502E-1,2.687343769E-2,-1.362952164E-2,1.623350787E-1,1.651079141E-1
1.894497501E-1,8.197931562E-2,-1.528624340E-2,1.301163357E-1,1.545462334E-1
1.993797501E-1,-9.246320883E-3,9.564678934E-3,2.033269840E-1,2.037617235E-1
2.093097500E-1,-1.799585867E-1,7.511955407E-2,3.226142764E-1,3.769721630E-1
2.192397502E-1,-2.087758033E-1,6.517964378E-2,3.537056762E-1,4.158646744E-1
2.291707501E-1,-1.360880788E-1,-3.317701025E-4,2.539667952E-1,2.881305404E-1
2.391007501E-1,-1.036416690E-1,-1.362967696E-2,7.939057052E-2,1.312639568E-1
2.490307500E-1,-1.146429129E-1,-1.758027513E-2,-6.990931034E-3,1.161935311E-1
2.589617500E-1,-1.412332997E-1,6.861753250E-3,-2.001501918E-2,1.428094170E-1
2.688917501E-1,-1.293018369E-1,4.561132447E-2,-1.837838352E-2,1.383369904E-1
2.788217501E-1,-1.153422856E-1,4.575130133E-2,6.750610471E-2,1.412589770E-1
2.887517500E-1,-1.562176486E-1,5.857143128E-2,1.804538459E-1,2.457603646E-1
2.986827500E-1,-1.886082266E-1,6.752432701E-2,2.644976306E-1,3.318005342E-1
3.086127501E-1,-1.424346376E-1,5.880726594E-2,1.837335491E-1,2.397997864E-1
3.185427501E-1,-1.493757302E-1,6.196646630E-2,6.212666631E-2,1.732416647E-1
3.284727500E-1,-2.283776253E-1,7.810023621E-2,2.453959465E-2,2.426070452E-1
3.384037500E-1,-1.553799984E-1,7.534892481E-2,8.934896350E-2,1.944315861E-1
3.483337502E-1,-4.639430319E-2,5.344463371E-2,1.402524841E-1,1.570971659E-1
3.582637501E-1,-4.897965873E-3,3.589124664E-2,1.662071049E-1,1.701087105E-1
3.681947500E-1,1.065708500E-1,-3.260895325E-2,1.325055081E-1,1.731427144E-1
3.781247500E-1,6.429591936E-2,-4.174287968E-2,6.860713542E-2,1.028755184E-1
3.880547502E-1,-5.529115244E-2,-5.437453743E-4,1.172191322E-2,5.652265428E-2
3.979847501E-1,-1.391780399E-1,6.548976548E-2,5.239105225E-3,1.539054398E-1
4.079157501E-1,-1.488250413E-1,6.455619355E-2,4.232097745E-2,1.676527965E-1
4.178457500E-1,-1.114912728E-1,-3.629905796E-3,4.908328235E-2,1.218714435E-1
4.277757502E-1,1.500218293E-2,-4.895184791E-2,6.265817821E-2,8.091598237E-2
4.377067501E-1,7.993755927E-3,6.796200480E-3,1.845907509E-2,2.123266182E-2
4.476367501E-1,-1.257649292E-1,7.468529781E-2,-7.612490058E-2,1.648930308E-1
4.575667500E-1,-2.128438574E-1,6.743359923E-2,-6.004271865E-2,2.312032137E-1
4.674967502E-1,-1.816545350E-1,6.655066967E-2,4.442012787E-2,1.984956158E-1
4.774277501E-1,-6.014289790E-2,6.351849549E-2,7.475899100E-2,1.150681284E-1
4.873577501E-1,-4.331441025E-2,7.627066984E-2,-3.865594268E-3,8.779690218E-2
4.972877500E-1,-6.413344899E-2,7.379658499E-2,-1.637992215E-1,1.907595875E-1
5.072187500E-1,-2.414980464E-2,9.219300351E-2,-3.249321127E-1,3.386202014E-1
5.171487501E-1,5.249082036E-2,1.210856949E-1,-4.545941198E-1,4.733633335E-1
5.270787501E-1,1.376484266E-1,1.063494324E-1,-7.749624807E-1,7.942443815E-1
5.370087500E-1,2.491442858E-1,2.967466512E-3,-1.537704865E0,1.557760551E0
5.469397500E-1,3.183297291E-1,-2.675986831E-1,-2.579812011E0,2.613115551E0
5.568697501E-1,2.653654670E-1,-3.158434200E-1,-2.837733863E0,2.867561573E0
5.667997501E-1,3.094518651E-1,-1.160494332E-1,-2.372939860E0,2.395844634E0
5.767307500E-1,-2.815063769E-1,4.382410656E-1,-1.664152073E0,1.743761221E0
5.866607500E-1,-8.012385522E-1,4.735242246E-1,-9.154418367E-1,1.305466264E0
5.965907502E-1,-1.076834655E-1,1.262137944E-1,-2.148599153E0,2.154995120E0
6.065207501E-1,4.931262477E-1,3.203092309E-1,-9.863785028E0,9.881296807E0
6.164517500E-1,2.039491826E-1,-2.463066686E-1,-9.957869067E0,9.963002489E0
6.263817500E-1,3.077548935E-1,-3.011241509E-1,-9.617416690E0,9.627050048E0
6.363117502E-1,4.371465765E-1,-3.128958385E-1,-9.710175165E0,9.725045124E0
6.462417501E-1,5.362242835E-1,-3.432069274E-1,-9.686486925E0,9.707386694E0
6.561727501E-1,6.418930817E-1,-3.659146259E-1,-9.664329486E0,9.692532417E0
6.661027500E-1,7.569981531E-1,-3.902524916E-1,-9.641627671E0,9.679169766E0
6.760327502E-1,8.672953514E-1,-4.113256010E-1,-9.619585422E0,9.667358154E0
6.859637501E-1,9.864257191E-1,-4.416093907E-1,-9.591187250E0,9.651887246E0
6.958937501E-1,1.085593912E0,-4.713080203E-1,-9.572325302E0,9.645209022E0
7.058237500E-1,1.197962998E0,-4.926045664E-1,-9.542660038E0,9.630167974E0
7.157537502E-1,1.299094759E0,-5.235319883E-1,-9.520987333E0,9.623457421E0
7.256847501E-1,1.414264880E0,-5.439179403E-1,-9.495950140E0,9.616083451E0
7.356147501E-1,1.514881721E0,-5.782684319E-1,-9.463525575E0,9.601436212E0
7.455447500E-1,1.619118572E0,-5.981416195E-1,-9.426203967E0,9.582934811E0
7.554757500E-1,1.717582030E0,-6.237391582E-1,-9.388855462E0,9.565027206E0
7.654057501E-1,1.815075434E0,-6.435890666E-1,-9.351786454E0,9.548016317E0
7.753357501E-1,1.920295641E0,-6.680117170E-1,-9.308458586E0,9.527915630E0
7.852657500E-1,2.025567157E0,-6.973129186E-1,-9.268927900E0,9.513264005E0
7.951967500E-1,2.123056614E0,-7.204930356E-1,-9.234904706E0,9.503154451E0
8.051267501E-1,2.206438933E0,-7.441521127E-1,-9.195558207E0,9.485801277E0
8.150567501E-1,2.301549596E0,-7.574289467E-1,-9.153626654E0,9.468881142E0
8.249877500E-1,2.397015771E0,-7.903373688E-1,-9.114725713E0,9.457723964E0
8.349177500E-1,2.493262987E0,-8.189832437E-1,-9.064288800E0,9.436547320E0
8.448477502E-1,2.582585346E0,-8.392201647E-1,-9.035957871E0,9.435177380E0
8.547777501E-1,2.665901737E0,-8.534554305E-1,-8.987629464E0,9.413442602E0
8.647087500E-1,2.754331810E0,-8.827274691E-1,-8.937922869E0,9.394254452E0
8.746387500E-1,2.826727064E0,-8.971835404E-1,-8.905077889E0,9.385932900E0
8.845687502E-1,2.906750304E0,-9.148696136E-1,-8.867238802E0,9.376252328E0
8.944997501E-1,2.978186322E0,-9.243244151E-1,-8.820154683E0,9.355164244E0
9.044297501E-1,3.044251380E0,-9.513107771E-1,-8.766031101E0,9.328223835E0
9.143597500E-1,3.120889666E0,-9.642166054E-1,-8.736196852E0,9.326885944E0
9.242897502E-1,3.169332679E0,-9.828128707E-1,-8.690139504E0,9.302102739E0
9.342207501E-1,3.234285597E0,-9.974639466E-1,-8.648421375E0,9.287127108E0
9.441507501E-1,3.292947495E0,-1.010299097E0,-8.614006417E0,9.277139324E0
9.540807500E-1,3.342121409E0,-1.026085409E0,-8.558115807E0,9.244672679E0
9.640117502E-1,3.401382355E0,-1.036678664E0,-8.512525651E0,9.225356228E0
9.739417501E-1,3.444965747E0,-1.042904998E0,-8.474301817E0,9.207020752E0
9.838717501E-1,3.483459137E0,-1.061767897E0,-8.431760400E0,9.184575225E0
9.938017500E-1,3.523524258E0,-1.077110552E0,-8.391949047E0,9.165162255E0
1.003732750E0,3.552586967E0,-1.086704444E0,-8.364199916E0,9.152138599E0
1.013662750E0,3.583563469E0,-1.092165013E0,-8.326657868E0,9.130606924E0
1.023592750E0,3.592672554E0,-1.100526166E0,-8.293165017E0,9.104671324E0
1.033523750E0,3.602843201E0,-1.100145439E0,-8.278197899E0,9.095018393E0
1.043453750E0,3.609061130E0,-1.103429308E0,-8.255156361E0,9.076920459E0
1.053383750E0,3.598898669E0,-1.115545835E0,-8.223695417E0,9.045754830E0
1.063314750E0,3.603297237E0,-1.113289687E0,-8.202058965E0,9.027565351E0
1.073244750E0,3.585997372E0,-1.114885319E0,-8.181346373E0,9.002042818E0
1.083174750E0,3.563799587E0,-1.118233435E0,-8.170910847E0,8.984147015E0
1.093104750E0,3.535221613E0,-1.108825557E0,-8.153913576E0,8.956204139E0
1.103035750E0,3.507639712E0,-1.103680665E0,-8.114336697E0,8.908653512E0
1.112965750E0,3.466072441E0,-1.105293547E0,-8.096343645E0,8.876154145E0
1.122895750E0,3.415698093E0,-1.098253572E0,-8.075239289E0,8.836438420E0
1.132826750E0,3.269244052E0,-1.020617897E0,-8.017991540E0,8.718819066E0
1.142756750E0,1.222486732E0,1.488039273E-1,-7.687135028E0,7.785156476E0
1.152686750E0,-3.888175513E1,2.423419458E1,4.144222514E1,6.177819270E1
1.162616750E0,-2.663162901E0,-3.895658823E-1,6.894520739E1,6.899772330E1
1.172547750E0,2.332748088E1,-7.157193103E0,-2.047431797E-1,2.440161259E1
1.182477750E0,1.733881582E0,9.061006173E-2,-2.108808382E1,2.115943843E1
1.192407750E0,3.134834106E0,-8.012588713E-1,-8.935132577E0,9.502936116E0
1.202338750E0,3.408411001E0,-8.494836362E-1,-9.384407485E0,1.002027903E1
1.212268750E0,3.794186608E0,-1.027800105E0,-9.203707471E0,1.000801960E1
1.222198750E0,4.160508822E0,-1.191400668E0,-8.870220298E0,9.869654368E0
1.232128750E0,4.507175620E0,-1.348003209E0,-8.693884646E0,9.885108748E0
1.242059750E0,4.835086889E0,-1.511212739E0,-8.464232912E0,9.864333123E0
1.251989750E0,5.162280997E0,-1.684638817E0,-8.212306795E0,9.845259567E0
1.261919750E0,5.479869592E0,-1.837472462E0,-7.950336331E0,9.829197504E0
1.271850750E0,5.764145429E0,-1.992571758E0,-7.681904109E0,9.808535338E0
1.281780750E0,6.042733095E0,-2.144119601E0,-7.406055863E0,9.795995895E0
1.291710750E0,6.323892367E0,-2.297869944E0,-7.117291703E0,9.794266799E0
1.301640750E0,6.581281537E0,-2.443597176E0,-6.827857452E0,9.793062402E0
1.311571750E0,6.813159306E0,-2.592379724E0,-6.532343266E0,9.788313486E0
1.321501750E0,7.040753989E0,-2.731212212E0,-6.207056812E0,9.775443271E0
1.331431750E0,7.250938003E0,-2.867209385E0,-5.893233824E0,9.773801537E0
1.341362750E0,7.451580530E0,-2.997735318E0,-5.568676518E0,9.773567803E0
1.351292750E0,7.640085992E0,-3.140606770E0,-5.221261861E0,9.772200380E0
1.361222750E0,7.774925709E0,-3.232429398E0,-4.922794831E0,9.753562351E0
1.371153750E0,7.576461269E0,-2.784815392E0,-5.152390432E0,9.576277424E0
1.381083750E0,6.072220604E0,2.274096188E-1,-6.994539936E0,9.265374634E0
1.391013750E0,8.142160088E-1,9.700659406E0,-8.544947877E0,1.295306430E1
1.400943750E0,-9.589240712E-1,7.665726618E0,-7.192496252E0,1.055532578E1
1.410874750E0,-9.100708768E-1,2.225349413E-1,-5.604134034E0,5.681907168E0
1.420804750E0,-8.082234313E0,-3.595784734E-1,7.378366374E0,1.094952504E1
1.430734750E0,-1.658760590E1,-3.414768679E0,5.137842208E1,5.409761150E1
1.440665750E0,2.171783070E0,-1.542276219E1,6.331351075E1,6.520106501E1
1.450595750E0,1.319249263E1,-1.580048530E1,7.842687922E0,2.202736824E1
1.460525750E0,5.990789940E0,-5.159455038E0,-1.611202729E1,1.794733863E1
1.470455750E0,4.190208584E0,-4.211506775E-1,-1.328539320E1,1.393688947E1
1.480386750E0,4.126212271E0,-2.086863957E-1,-1.016198718E1,1.096973843E1
1.490316750E0,3.265686899E0,-1.349837773E-1,-8.618887088E0,9.217816780E0
1.500246750E0,2.907713925E0,2.481717477E-1,-6.995065600E0,7.579401839E0
1.510177750E0,2.894164757E0,7.551448781E-1,-4.039692190E0,5.026484499E0
1.520107750E0,2.478896963E0,1.431905199E0,1.211081153E0,3.108375816E0
1.530037750E0,1.163103872E0,1.636873058E0,6.825927871E0,7.115156732E0
1.539968750E0,5.899383049E-1,2.520480679E-1,9.225662012E0,9.247940041E0
1.549898750E0,2.749994638E0,-2.031004629E0,5.952776021E0,6.864618902E0
1.559828750E0,3.883503412E0,-1.137701228E0,8.022438347E-1,4.125476701E0
1.569758750E0,2.084713351E0,1.675962864E0,-1.640400099E0,3.137800784E0
1.579689750E0,9.857546049E-1,8.833014464E-1,-2.136329940E0,2.513133343E0
1.589619750E0,3.464014806E-1,-6.304448182E-1,-1.349038605E0,1.528842638E0
1.599549750E0,2.045816503E-1,-7.921193077E-1,3.043890899E-1,8.729028396E-1
1.609480750E0,1.395978444E0,-1.228486487E-1,1.174726675E0,1.828614330E0
1.619410750E0,1.894247757E0,1.371489647E-1,6.170449734E-1,1.996929869E0
1.629340750E0,1.843612185E0,1.958500763E-1,8.037114859E-2,1.855726990E0
1.639271750E0,1.176700548E0,-3.130750922E-2,7.300599575E-2,1.179378742E0
1.649201750E0,9.586469132E-1,-3.192445991E-1,1.393672156E-1,1.019972666E0
1.659131750E0,1.328480233E0,-9.257937656E-2,8.676449418E-2,1.334525664E0
